item,week_end_date,weekly_qty
Chickpea Meal Plate,2025-10-19,13
Chickpea Meal Plate,2025-10-26,15
Chickpea Meal Plate,2025-11-02,10
Chickpea Meal Plate,2025-11-09,17
Chickpea Meal Plate,2025-11-16,0
Chickpea Meal Plate,2025-11-23,13
Chickpea Meal Plate,2025-11-30,12
Chickpea Meal Plate,2025-12-07,14
Chickpea Meal Plate,2025-12-14,25
Chickpea Meal Plate,2025-12-21,7
Chickpea Meal Plate,2025-12-28,0
Chickpea Meal Plate,2026-01-04,5
Chickpea Meal Plate,2026-01-11,5
Chickpea Meal Plate,2026-01-18,15
Chickpea Meal Plate,2026-01-25,16
Chickpea Meal Plate,2026-02-01,11
Chickpea Meal Plate,2026-02-08,14
Chickpea Meal Plate,2026-02-15,11
Chickpea Meal Plate,2026-02-22,8
Chickpea Meal Plate,2026-03-01,12
Chickpea Meal Plate,2026-03-08,0
Chickpea Meal Plate,2026-03-15,17
Lentil soup,2025-10-19,12
Lentil soup,2025-10-26,6
Lentil soup,2025-11-02,7
Lentil soup,2025-11-09,12
Lentil soup,2025-11-16,0
Lentil soup,2025-11-23,10
Lentil soup,2025-11-30,7
Lentil soup,2025-12-07,11
Lentil soup,2025-12-14,14
Lentil soup,2025-12-21,4
Lentil soup,2025-12-28,0
Lentil soup,2026-01-04,3
Lentil soup,2026-01-11,4
Lentil soup,2026-01-18,7
Lentil soup,2026-01-25,8
Lentil soup,2026-02-01,6
Lentil soup,2026-02-08,8
Lentil soup,2026-02-15,7
Lentil soup,2026-02-22,7
Lentil soup,2026-03-01,7
Lentil soup,2026-03-08,0
Lentil soup,2026-03-15,12
Paneer Meal Plate,2025-10-19,20
Paneer Meal Plate,2025-10-26,20
Paneer Meal Plate,2025-11-02,16
Paneer Meal Plate,2025-11-09,18
Paneer Meal Plate,2025-11-16,0
Paneer Meal Plate,2025-11-23,18
Paneer Meal Plate,2025-11-30,7
Paneer Meal Plate,2025-12-07,22
Paneer Meal Plate,2025-12-14,26
Paneer Meal Plate,2025-12-21,6
Paneer Meal Plate,2025-12-28,0
Paneer Meal Plate,2026-01-04,12
Paneer Meal Plate,2026-01-11,6
Paneer Meal Plate,2026-01-18,24
Paneer Meal Plate,2026-01-25,22
Paneer Meal Plate,2026-02-01,20
Paneer Meal Plate,2026-02-08,20
Paneer Meal Plate,2026-02-15,13
Paneer Meal Plate,2026-02-22,15
Paneer Meal Plate,2026-03-01,21
Paneer Meal Plate,2026-03-08,0
Paneer Meal Plate,2026-03-15,16
Pani Puri 12 Balls,2025-10-19,13
Pani Puri 12 Balls,2025-10-26,6
Pani Puri 12 Balls,2025-11-02,5
Pani Puri 12 Balls,2025-11-09,14
Pani Puri 12 Balls,2025-11-16,0
Pani Puri 12 Balls,2025-11-23,15
Pani Puri 12 Balls,2025-11-30,5
Pani Puri 12 Balls,2025-12-07,12
Pani Puri 12 Balls,2025-12-14,18
Pani Puri 12 Balls,2025-12-21,3
Pani Puri 12 Balls,2025-12-28,0
Pani Puri 12 Balls,2026-01-04,2
Pani Puri 12 Balls,2026-01-11,4
Pani Puri 12 Balls,2026-01-18,9
Pani Puri 12 Balls,2026-01-25,10
Pani Puri 12 Balls,2026-02-01,5
Pani Puri 12 Balls,2026-02-08,6
Pani Puri 12 Balls,2026-02-15,12
Pani Puri 12 Balls,2026-02-22,7
Pani Puri 12 Balls,2026-03-01,6
Pani Puri 12 Balls,2026-03-08,0
Pani Puri 12 Balls,2026-03-15,9
Pani Puri 5 Balls,2025-10-19,11
Pani Puri 5 Balls,2025-10-26,7
Pani Puri 5 Balls,2025-11-02,7
Pani Puri 5 Balls,2025-11-09,10
Pani Puri 5 Balls,2025-11-16,0
Pani Puri 5 Balls,2025-11-23,6
Pani Puri 5 Balls,2025-11-30,6
Pani Puri 5 Balls,2025-12-07,8
Pani Puri 5 Balls,2025-12-14,15
Pani Puri 5 Balls,2025-12-21,4
Pani Puri 5 Balls,2025-12-28,0
Pani Puri 5 Balls,2026-01-04,5
Pani Puri 5 Balls,2026-01-11,0
Pani Puri 5 Balls,2026-01-18,8
Pani Puri 5 Balls,2026-01-25,10
Pani Puri 5 Balls,2026-02-01,5
Pani Puri 5 Balls,2026-02-08,9
Pani Puri 5 Balls,2026-02-15,6
Pani Puri 5 Balls,2026-02-22,6
Pani Puri 5 Balls,2026-03-01,8
Pani Puri 5 Balls,2026-03-08,0
Pani Puri 5 Balls,2026-03-15,9
Pepsi Lemonade,2025-10-19,7
Pepsi Lemonade,2025-10-26,6
Pepsi Lemonade,2025-11-02,4
Pepsi Lemonade,2025-11-09,6
Pepsi Lemonade,2025-11-16,0
Pepsi Lemonade,2025-11-23,4
Pepsi Lemonade,2025-11-30,3
Pepsi Lemonade,2025-12-07,5
Pepsi Lemonade,2025-12-14,10
Pepsi Lemonade,2025-12-21,3
Pepsi Lemonade,2025-12-28,0
Pepsi Lemonade,2026-01-04,1
Pepsi Lemonade,2026-01-11,3
Pepsi Lemonade,2026-01-18,7
Pepsi Lemonade,2026-01-25,3
Pepsi Lemonade,2026-02-01,4
Pepsi Lemonade,2026-02-08,5
Pepsi Lemonade,2026-02-15,1
Pepsi Lemonade,2026-02-22,3
Pepsi Lemonade,2026-03-01,4
Pepsi Lemonade,2026-03-08,0
Pepsi Lemonade,2026-03-15,5
Red KidneyBean Plate,2025-10-19,14
Red KidneyBean Plate,2025-10-26,17
Red KidneyBean Plate,2025-11-02,9
Red KidneyBean Plate,2025-11-09,14
Red KidneyBean Plate,2025-11-16,0
Red KidneyBean Plate,2025-11-23,11
Red KidneyBean Plate,2025-11-30,7
Red KidneyBean Plate,2025-12-07,12
Red KidneyBean Plate,2025-12-14,17
Red KidneyBean Plate,2025-12-21,8
Red KidneyBean Plate,2025-12-28,0
Red KidneyBean Plate,2026-01-04,4
Red KidneyBean Plate,2026-01-11,5
Red KidneyBean Plate,2026-01-18,16
Red KidneyBean Plate,2026-01-25,18
Red KidneyBean Plate,2026-02-01,11
Red KidneyBean Plate,2026-02-08,15
Red KidneyBean Plate,2026-02-15,14
Red KidneyBean Plate,2026-02-22,8
Red KidneyBean Plate,2026-03-01,12
Red KidneyBean Plate,2026-03-08,0
Red KidneyBean Plate,2026-03-15,17
Strawberry yogurt,2025-10-19,25
Strawberry yogurt,2025-10-26,7
Strawberry yogurt,2025-11-02,8
Strawberry yogurt,2025-11-09,25
Strawberry yogurt,2025-11-16,0
Strawberry yogurt,2025-11-23,15
Strawberry yogurt,2025-11-30,10
Strawberry yogurt,2025-12-07,21
Strawberry yogurt,2025-12-14,19
Strawberry yogurt,2025-12-21,6
Strawberry yogurt,2025-12-28,0
Strawberry yogurt,2026-01-04,5
Strawberry yogurt,2026-01-11,6
Strawberry yogurt,2026-01-18,9
Strawberry yogurt,2026-01-25,20
Strawberry yogurt,2026-02-01,2
Strawberry yogurt,2026-02-08,11
Strawberry yogurt,2026-02-15,14
Strawberry yogurt,2026-02-22,4
Strawberry yogurt,2026-03-01,14
Strawberry yogurt,2026-03-08,0
Strawberry yogurt,2026-03-15,13
Water,2025-10-19,2
Water,2025-10-26,8
Water,2025-11-02,6
Water,2025-11-09,4
Water,2025-11-16,0
Water,2025-11-23,5
Water,2025-11-30,5
Water,2025-12-07,8
Water,2025-12-14,11
Water,2025-12-21,3
Water,2025-12-28,0
Water,2026-01-04,2
Water,2026-01-11,2
Water,2026-01-18,3
Water,2026-01-25,8
Water,2026-02-01,2
Water,2026-02-08,4
Water,2026-02-15,3
Water,2026-02-22,1
Water,2026-03-01,5
Water,2026-03-08,0
Water,2026-03-15,9
